precipitation_mm,rainy_days,date,max_temp,min_temp,avg_temp
"190,00",7,1991-01-01,"28,4","19,8","24,1"
"30,50",6,1991-02-01,"27,8","17,8","22,8"
"55,00",8,1991-03-01,"27,6","18,4",23
"125,60",12,1991-04-01,"22,4","13,6",18
"68,40",7,1991-05-01,"20,7","12,2","16,45"
"119,70",10,1991-06-01,"14,8","7,6","11,2"
"89,30",8,1991-07-01,"14,8","6,7","10,75"
"66,40",7,1991-08-01,"17,1","9,3","13,2"
"85,50",10,1991-09-01,"20,5","11,7","16,1"
"131,70",10,1991-10-01,"21,1","12,2","16,65"
"92,40",9,1991-11-01,"24,3","15,3","19,8"
"244,00",16,1991-12-01,"27,8","18,7","23,25"
"111,90",9,1992-01-01,"28,5","19,8","24,15"
"36,80",7,1992-02-01,29,"19,8","24,4"
"116,00",9,1992-03-01,"27,4","18,9","23,15"
"110,00",9,1992-04-01,"21,9","13,2","17,55"
"189,50",9,1992-05-01,"18,5","10,1","14,3"
"98,90",16,1992-06-01,"16,6","10,3","13,45"
"46,50",9,1992-07-01,"12,6","5,3","8,95"
"77,80",5,1992-08-01,"17,8","8,5","13,15"
"67,90",8,1992-09-01,"19,1","10,3","14,7"
"135,70",10,1992-10-01,"23,6","12,9","18,25"
"89,10",10,1992-11-01,"23,4",14,"18,7"
"138,90",9,1992-12-01,"27,7","18,7","23,2"
"122,50",6,1993-01-01,"30,7","21,2","25,95"
"135,20",9,1993-02-01,27,19,23
"98,50",5,1993-03-01,28,"18,8","23,4"
"200,40",13,1993-04-01,"23,2","14,6","18,9"
"109,70",11,1993-05-01,"18,4","10,7","14,55"
"132,50",7,1993-06-01,"15,5","8,5",12
"39,10",8,1993-07-01,"13,7","6,2","9,95"
"50,50",7,1993-08-01,"18,2",8,"13,1"
"38,80",10,1993-09-01,"18,3","9,4","13,85"
"170,30",14,1993-10-01,"20,9","14,2","17,55"
"215,80",14,1993-11-01,"23,6","15,8","19,7"
"147,40",10,1993-12-01,"25,8","18,2",22
"73,30",10,1994-01-01,"28,4","18,7","23,55"
"50,10",4,1994-02-01,"28,9","19,3","24,1"
"134,50",11,1994-03-01,"26,6","17,6","22,1"
"209,90",11,1994-04-01,"22,3","13,2","17,75"
"101,70",10,1994-05-01,"20,2","12,5","16,35"
"51,90",14,1994-06-01,"16,6","9,6","13,1"
"73,70",10,1994-07-01,"15,3","7,5","11,4"
"39,40",5,1994-08-01,17,"8,8","12,9"
"24,20",7,1994-09-01,"20,3","11,7",16
"127,10",17,1994-10-01,"21,6","13,3","17,45"
"27,20",5,1994-11-01,"26,9","17,1",22
"124,10",8,1994-12-01,"30,7","20,5","25,6"
"49,30",5,1995-01-01,"29,4","19,5","24,45"
"70,80",13,1995-02-01,"28,4","18,4","23,4"
"151,50",12,1995-03-01,"27,4","17,3","22,35"
"171,10",11,1995-04-01,"23,3","13,5","18,4"
"18,20",4,1995-05-01,"19,5","10,8","15,15"
"27,30",6,1995-06-01,"15,7","7,2","11,45"
"28,70",10,1995-07-01,"15,4",7,"11,2"
"4,30",8,1995-08-01,"16,9","7,8","12,35"
"31,90",7,1995-09-01,"19,9","11,1","15,5"
"118,80",13,1995-10-01,"22,3","12,6","17,45"
"118,50",8,1995-11-01,"26,4",17,"21,7"
"74,80",7,1995-12-01,"30,1","19,3","24,7"
"48,80",10,1996-01-01,"30,1","19,9",25
"105,00",8,1996-02-01,"28,9","19,1",24
"25,50",4,1996-03-01,"28,5","18,8","23,65"
"142,00",12,1996-04-01,"22,8","14,8","18,8"
"32,50",5,1996-05-01,"20,5","10,8","15,65"
"9,10",5,1996-06-01,15,"5,6","10,3"
"21,60",4,1996-07-01,"14,6","5,9","10,25"
"67,00",10,1996-08-01,"20,3","10,3","15,3"
"120,70",12,1996-09-01,"18,5","9,6","14,05"
"97,30",11,1996-10-01,"23,1","14,2","18,65"
"126,00",8,1996-11-01,"26,9","17,1",22
"126,00",14,1996-12-01,"29,6",20,"24,8"
"164,20",10,1997-01-01,"31,5","21,7","26,6"
"82,00",6,1997-02-01,"28,4","18,6","23,5"
"24,00",7,1997-03-01,"27,7","17,9","22,8"
"83,70",5,1997-04-01,"25,4","15,2","20,3"
"123,00",5,1997-05-01,"21,5","12,5",17
"87,30",14,1997-06-01,"15,9",9,"12,45"
"28,30",8,1997-07-01,"17,8","10,5","14,15"
"94,20",10,1997-08-01,"19,3","10,5","14,9"
"13,50",12,1997-09-01,"19,3",10,"14,65"
"135,50",14,1997-10-01,"21,7","13,5","17,6"
"123,20",18,1997-11-01,"24,6","15,9","20,25"
"296,40",18,1997-12-01,"26,7","17,6","22,15"
"146,80",8,1998-01-01,"27,2","18,3","22,75"
"116,00",13,1998-02-01,"26,2","17,5","21,85"
"100,10",12,1998-03-01,"25,6","16,2","20,9"
"119,00",17,1998-04-01,22,"14,6","18,3"
"72,00",7,1998-05-01,"19,5","11,6","15,55"
"25,10",9,1998-06-01,"16,4","8,2","12,3"
"96,00",8,1998-07-01,"16,6","9,3","12,95"
"17,00",3,1998-08-01,"17,2","7,8","12,5"
"39,30",11,1998-09-01,"18,6","8,7","13,65"
"37,60",8,1998-10-01,"23,5","13,6","18,55"
"88,60",11,1998-11-01,"24,7","15,5","20,1"
"159,90",10,1998-12-01,"28,4","17,6",23
"188,30",15,1999-01-01,"27,4","18,1","22,75"
"197,00",9,1999-02-01,"27,9","18,8","23,35"
"155,60",14,1999-03-01,"27,2","18,7","22,95"
"52,30",14,1999-04-01,"20,7","12,6","16,65"
"47,20",9,1999-05-01,"19,1","10,3","14,7"
"16,10",10,1999-06-01,"15,2","8,1","11,65"
"118,90",9,1999-07-01,"15,2","7,3","11,25"
"103,50",8,1999-08-01,"18,5","8,6","13,55"
"72,60",11,1999-09-01,"19,8","11,4","15,6"
"36,40",9,1999-10-01,"22,2","13,6","17,9"
"40,70",10,1999-11-01,"25,8","15,7","20,75"
"55,10",12,1999-12-01,"29,8","18,2",24
"159,90",7,2000-01-01,"30,5","21,2","25,85"
"69,00",9,2000-02-01,"29,2","20,2","24,7"
"71,10",11,2000-03-01,"26,5","17,4","21,95"
"179,60",16,2000-04-01,"23,3","14,7",19
"362,40",15,2000-05-01,"17,5",11,"14,25"
"147,30",14,2000-06-01,16,"10,1","13,05"
"48,90",10,2000-07-01,13,"5,9","9,45"
"66,40",13,2000-08-01,"16,7","8,1","12,4"
"137,40",11,2000-09-01,"18,7","10,2","14,45"
"151,50",16,2000-10-01,"21,3","13,9","17,6"
"149,00",14,2000-11-01,24,"14,9","19,45"
"93,00",6,2000-12-01,"28,8","17,9","23,35"
"337,50",9,2001-01-01,"30,2","20,9","25,55"
"120,60",12,2001-02-01,"29,9",20,"24,95"
"314,50",15,2001-03-01,"26,9",19,"22,95"
"48,10",7,2001-04-01,"23,1","13,6","18,35"
"99,90",13,2001-05-01,"17,6","10,1","13,85"
"81,30",10,2001-06-01,"16,7","8,7","12,7"
"46,90",10,2001-07-01,"15,3",7,"11,15"
"168,50",14,2001-08-01,"19,4","11,1","15,25"
"52,60",13,2001-09-01,"18,7","10,7","14,7"
"262,50",23,2001-10-01,"21,3","14,6","17,95"
